region_id,region_name,centroid,latitude,longitude
1,North East Valley,POINT (-118.3824463493572 34.26146689706539),34.261460423152776,-118.38246002952808
2,North West Valley,POINT (-118.53919487606 34.26605706167743),34.26605708058946,-118.53919119943411
3,South West Valley,POINT (-118.5634113828926 34.1820307428836),34.18202774052978,-118.56342162172783
4,South East Valley,POINT (-118.4145720174367 34.17090384421881),34.17090721875934,-118.41457419030115
5,Central 1,POINT (-118.3373198273659 34.09594213129068),34.09594947025774,-118.33731631698825
6,Central 2,POINT (-118.2690052027189 34.04987841907153),34.04987724541125,-118.26900925500073
7,East,POINT (-118.2762945347618 34.10875797064031),34.108763950739,-118.27630256279464
8,North East LA,POINT (-118.2045957349152 34.08904194064711),34.089054958305475,-118.20459646824243
9,South LA 2,POINT (-118.2719449570242 33.97652359303627),33.97653096878102,-118.27194409313499
10,South LA 1,POINT (-118.325581852865 34.0152011037828),34.01520365326597,-118.32558318464251
11,West LA,POINT (-118.4251948936485 34.03261281778467),34.03265490602317,-118.42520518385855
12,Harbor,POINT (-118.2799449449067 33.78485290795894),33.78488892465509,-118.27994494838939
